emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
angry,0.48326963,0.24099123,0.50234437,0.33862478,0.5381296,1.0,0.5296,0.033522625,0.0,0.5063182,0.40979457,0.13818946,0.19673538,1.0,0.34527302,0.013434762,0.9977943,0.40100414,0.059252802,0.30214664
angry,0.43957582,0.18135956,0.2561083,0.27002147,0.095834516,1.0,0.32968807,0.0013160645,1.0,0.044133488,0.3299426,0.16786301,0.4779228,0.0,0.25089654,0.19712152,0.02612376,0.0955663,0.07191633,0.11115268
angry,0.17464264,0.16552533,0.53857607,0.27477363,0.6637742,1.0,0.6004029,0.07950046,1.0,0.73363924,0.3134854,0.3216268,0.39402568,1.0,0.25862026,0.4179184,0.9923185,0.47914243,0.02379783,0.5618158
angry,0.49225396,0.43397498,0.5733489,0.43391922,0.15983804,0.0,0.34819973,0.008516101,0.0,0.16021669,0.22601463,0.1417653,0.3478191,0.0,0.6085048,0.16866015,0.74363834,0.16182715,0.3153622,0.23424171
angry,0.44280875,0.39041764,0.7772867,0.29171658,0.24465011,1.0,0.39742702,0.013133465,0.0,0.24489291,0.25570986,0.40372798,0.40209457,1.0,0.57321435,0.28832144,0.9290437,0.13178606,0.26855713,0.35958624
angry,0.2892713,0.28499353,0.29506397,0.42252898,0.11420167,1.0,0.49570692,0.27120256,0.0,0.096747205,0.64429396,0.31020188,0.40092352,1.0,0.6078871,0.4341073,0.96132714,0.12560682,0.5839864,0.22166874
angry,0.41865748,0.18845475,0.12195416,0.40421993,0.24456087,0.0,0.26016444,0.0019411563,1.0,0.083216004,0.44812712,0.57520443,0.4554003,0.0,0.50837135,0.48610842,0.014521671,0.043346327,0.13801956,0.11558416
angry,0.3607989,0.2675444,0.63087136,0.3266821,0.30785695,1.0,0.47044703,0.9435458,0.0,0.31940612,0.4464208,0.1363845,0.38671723,0.0,0.7623471,0.23141815,0.52353543,0.14967072,0.2844363,0.49644396
angry,0.3460771,0.33238453,0.38934442,0.33897808,0.21943648,1.0,0.3857398,0.093784004,0.0,0.29372054,0.19387913,0.22336878,0.3381472,0.0,0.44683436,0.25577772,0.548351,0.17824404,0.16007,0.49097073
angry,0.25740162,0.14524966,0.7745509,0.28195888,0.29296333,0.0,0.4981144,0.9774303,0.0,0.15246706,0.44688648,0.2018163,0.42426503,0.0,0.20103087,0.4213811,0.2836393,0.073920876,0.15717958,0.12788913
angry,0.4010314,0.2373254,0.68922794,0.30701166,0.4959789,1.0,0.4856415,0.9501812,1.0,0.36351898,0.40516376,0.23395124,0.25841656,1.0,0.74997246,0.040807765,0.99965227,0.7315366,0.04207138,0.69527084
angry,0.25690922,0.24982214,0.90506786,0.23484474,0.43596599,0.0,0.3753816,0.03339478,1.0,0.5834003,0.40676448,0.39212152,0.33033222,1.0,0.47899538,0.07374104,0.9978357,0.6734442,0.018415567,0.6577493
angry,0.30122808,0.1977632,0.90142936,0.331562,0.28702283,1.0,0.49875814,0.041383527,1.0,0.14858729,0.6326424,0.05486638,0.31296802,0.0,0.37029842,0.24564993,0.91126186,0.34596422,0.15923683,0.19189662
angry,0.38063478,0.2657804,0.45855644,0.380114,0.22472262,0.0,0.279742,0.00081317755,0.0,0.16856933,0.22432819,0.10214003,0.5037961,0.0,0.4678886,0.3675965,0.91506344,0.06083695,0.11925659,0.20271958
angry,0.31844297,0.13771927,0.69020355,0.32814926,0.44948933,0.0,0.5236531,0.23796803,1.0,0.3271825,0.5369781,0.6468764,0.44071588,0.0,0.43427658,0.44646496,0.19890082,0.15784763,0.17206427,0.20001185
angry,0.40051168,0.29989967,0.75931036,0.32016313,0.17263342,1.0,0.42195427,0.16072793,1.0,0.23934147,0.29007265,0.4661748,0.3856061,1.0,0.2473556,0.14354816,0.88131857,0.25976184,0.019404957,0.1254193
angry,0.25899413,0.232178,0.25499046,0.26768368,0.33620667,1.0,0.35882658,0.586589,1.0,0.14261004,0.7214536,0.19364642,0.3746765,1.0,0.41791245,0.64140743,0.41300267,0.27964595,0.4937812,0.5316668
angry,0.49014077,0.31389746,0.54928833,0.43985543,0.12835027,0.0,0.17674017,0.014671146,0.0,0.08417899,0.5012858,0.3001754,0.6088882,0.0,0.55909485,0.54049027,0.017650828,0.22064939,0.11021546,0.068214655
angry,0.3762348,0.13626516,0.73307574,0.31897947,0.3855275,0.0,0.53464264,0.57108676,1.0,0.24008279,0.48811364,0.16434893,0.44679433,1.0,0.5972175,0.24618812,0.99833447,0.52569133,0.034234606,0.7070698
angry,0.6093955,0.36875933,0.8029938,0.32237142,0.5264698,0.0,0.5433076,0.51815575,1.0,0.24583375,0.26312834,0.16985139,0.380333,1.0,0.66702586,0.055223636,0.998938,0.78135985,0.035998426,0.28130487
angry,0.2166966,0.14138837,0.6213574,0.3020206,0.30496678,0.0,0.47392628,0.011384033,0.0,0.20856081,0.3686207,0.20660774,0.2973206,1.0,0.60106176,0.25455362,0.98808634,0.505427,0.19544712,0.669856
angry,0.3819432,0.13710113,0.8191111,0.23306778,0.37931654,1.0,0.6904032,0.6221618,1.0,0.28760758,0.35456094,0.17999664,0.28484523,1.0,0.22783408,0.024419904,0.999833,0.85429883,0.023864636,0.6689007
angry,0.33940488,0.19430132,0.51144606,0.3287663,0.5546217,0.0,0.5485444,0.9575863,0.0,0.50570476,0.45373836,0.51010543,0.5438411,1.0,0.5292805,0.6421839,0.9412525,0.42039436,0.026381405,0.8138176
angry,0.24831517,0.30289808,0.44573772,0.26730654,0.39903295,0.0,0.27136302,0.2574645,0.0,0.32171482,0.58313656,0.38767344,0.45971596,0.0,0.2067292,0.68950516,0.007896351,0.035587054,0.26223338,0.21481572
angry,0.51547563,0.36495054,0.4010844,0.3973915,0.12846771,0.0,0.39906728,0.032321736,0.0,0.4356871,0.23496357,0.32988837,0.4114086,0.0,0.5433028,0.46661606,0.92363864,0.31017667,0.6663815,0.20092848
angry,0.46715152,0.19581515,0.7094995,0.2443946,0.14493771,0.0,0.7567762,0.9768523,0.0,0.090450555,0.41284227,0.44241482,0.39901072,1.0,0.67043686,0.11912394,0.9988285,0.2536679,0.18169543,0.23022789
angry,0.40303206,0.20697461,0.46847808,0.31924757,0.41124249,1.0,0.41116384,0.27659476,1.0,0.31630027,0.44023743,0.47302786,0.27463025,1.0,0.5789132,0.027475258,0.999676,0.7404569,0.4273114,0.42035076
angry,0.2522564,0.17421648,0.6070346,0.24043621,0.4109875,0.0,0.3731823,0.13522336,0.0,0.41024268,0.5916427,0.49647444,0.46896267,0.0,0.55889326,0.20223993,0.7943508,0.24166363,0.041386448,0.28354013
angry,0.43489763,0.43810016,0.3792922,0.46289933,0.28234923,0.0,0.5795812,0.76093847,1.0,0.48214427,0.3534625,0.28805515,0.39833966,1.0,0.5231634,0.23326747,0.9305612,0.18064566,0.047517486,0.31385323
angry,0.2537359,0.20825487,0.3889488,0.32333335,0.1562566,0.0,0.28380653,0.04997361,0.0,0.21118747,0.6175724,0.09007447,0.4372478,0.0,0.58519816,0.6114593,0.22029354,0.09416994,0.053358287,0.16898209
angry,0.30231333,0.18221894,0.49060112,0.30347833,0.5615995,1.0,0.43954033,0.3991869,1.0,0.38807023,0.5396232,0.29616958,0.44792372,1.0,0.44543242,0.047165938,0.99941444,0.7457964,0.10375231,0.40217468
angry,0.40331623,0.22142915,0.52278733,0.32189035,0.1967016,0.0,0.50837886,0.037346024,0.0,0.08419077,0.26579988,0.11992843,0.36539477,1.0,0.770209,0.33386204,0.8969414,0.37855104,0.13689376,0.4048141
angry,0.34255305,0.1839601,0.92304176,0.25662494,0.7663287,0.0,0.6741345,0.103264384,1.0,0.74213785,0.6085727,0.18949278,0.41371918,1.0,0.28401956,0.5148331,0.98111844,0.049444284,0.08543634,0.5191145
angry,0.3614827,0.33395207,0.82637566,0.25917357,0.16111799,0.0,0.41158757,0.13860694,0.0,0.107628606,0.22839071,0.14176466,0.34516272,0.0,0.6333545,0.3159816,0.21448715,0.24012817,0.5864159,0.21251483
angry,0.34709078,0.12573898,0.60875684,0.3126872,0.25192472,0.0,0.45702386,0.07980738,1.0,0.15264203,0.35861546,0.08208257,0.31034788,1.0,0.39706868,0.36989743,0.13972045,0.12297577,0.13223213,0.17822136
angry,0.4526049,0.29790813,0.7980962,0.29604495,0.24735267,0.0,0.49730846,0.1337262,0.0,0.24822316,0.24504441,0.42895326,0.383423,0.0,0.38734034,0.16550362,0.8803118,0.21611136,0.09364485,0.5712998
angry,0.4330635,0.22970067,0.20768867,0.36770147,0.12117434,1.0,0.27230686,0.9859358,0.0,0.21935056,0.35701424,0.3001816,0.3083599,0.0,0.67464733,0.23509839,0.7457717,0.4228887,0.21943976,0.2603857
angry,0.28737926,0.13931692,0.85819054,0.25356522,0.38773406,1.0,0.68880326,0.8660498,1.0,0.13591093,0.28648946,0.13862298,0.26511666,1.0,0.28102615,0.0070646047,0.99983394,0.7986253,0.025540683,0.8401447
angry,0.32973692,0.26043326,0.62774736,0.28350145,0.26407266,0.0,0.35569516,0.3120419,0.0,0.11634872,0.44265753,0.056012515,0.3241573,0.0,0.18065271,0.34004202,0.20482637,0.12048053,0.22234361,0.2550958
angry,0.46025127,0.34009016,0.43099347,0.55565,0.07959005,0.0,0.23189563,0.096042044,1.0,0.042362113,0.513373,0.7584288,0.38594636,0.0,0.66140157,0.30834714,0.9880761,0.36446363,0.049103785,0.30599898
angry,0.33143693,0.15150344,0.5395167,0.43366385,0.15212215,0.0,0.24347325,0.032678176,1.0,0.2018639,0.56416357,0.6777759,0.42699766,0.0,0.6809123,0.5730424,0.8605804,0.43963304,0.03339822,0.074976124
angry,0.30319792,0.20656821,0.21365711,0.29804257,0.22709353,0.0,0.28070474,0.06749681,1.0,0.19050618,0.60828227,0.09613624,0.28401953,1.0,0.5893285,0.12200641,0.99842274,0.346848,0.044773437,0.28816262
angry,0.47023463,0.24452919,0.8086188,0.30542848,0.25634983,1.0,0.5273377,0.08663905,1.0,0.14890078,0.28077233,0.16571632,0.45746216,1.0,0.62694967,0.36920607,0.64023536,0.19658342,0.1019783,0.54807025
angry,0.37046397,0.22759846,0.4029708,0.38136977,0.20826638,0.0,0.5112816,0.14164598,0.0,0.1839729,0.40998325,0.023833815,0.33627594,1.0,0.42475957,0.25560886,0.68810004,0.2671119,0.3219607,0.24016853
angry,0.3468027,0.1497495,0.58959126,0.35111636,0.33054587,0.0,0.4681403,9.02543e-05,1.0,0.115624204,0.37834084,0.28235802,0.32949543,1.0,0.46035826,0.22131465,0.9954992,0.3352704,0.060068548,0.23702605
angry,0.31015193,0.21190715,0.48302215,0.3282204,0.3368161,0.0,0.47156194,0.9555722,0.0,0.48815545,0.4547897,0.10387216,0.2805146,1.0,0.57092404,0.081015594,0.9992842,0.7726101,0.10451152,0.58377236
angry,0.41441262,0.34341845,0.35815176,0.36590278,0.18193634,0.0,0.2667807,0.0006110828,1.0,0.17946585,0.36730936,0.21512422,0.5132605,0.0,0.4852893,0.48866552,0.02204174,0.05812722,0.3439134,0.43507248
angry,0.43780407,0.3656511,0.80842733,0.23787628,0.55765295,1.0,0.58040565,0.43924528,1.0,0.6624837,0.47372273,0.28187335,0.23042683,1.0,0.44845685,0.019992486,0.999964,0.63521004,0.15573563,0.40307453
angry,0.42478278,0.13709539,0.41985267,0.31664506,0.42722398,1.0,0.6206638,0.5999133,0.0,0.30251464,0.42981747,0.12612142,0.31110442,1.0,0.28953016,0.12988971,0.9997745,0.3388487,0.06738193,0.22429493
angry,0.43053344,0.2409913,0.51437557,0.31512308,0.14613971,1.0,0.5044943,0.5871589,1.0,0.18518291,0.3856171,0.16421497,0.34821823,1.0,0.44323084,0.03556875,0.999951,0.8140549,0.25873452,0.45490858
angry,0.59135246,0.5409199,0.42763335,0.3497599,0.8733642,1.0,0.43114904,0.9375496,1.0,0.8550628,0.6960739,0.320866,0.23560292,1.0,0.30506214,0.032732435,0.9999323,0.6395048,0.08413046,0.8740387
angry,0.33421984,0.1594398,0.43806353,0.25805,0.6682317,0.0,0.43426535,0.1484147,1.0,0.5684387,0.4477315,0.40890804,0.60315096,0.0,0.1939969,0.59437025,0.03678636,0.18227439,0.05779756,0.5231382
angry,0.30829346,0.22853775,0.19725014,0.3830515,0.22678886,0.0,0.27686813,0.7365348,0.0,0.31219524,0.35803545,0.45008203,0.33974206,1.0,0.70697117,0.076173425,0.999071,0.7057745,0.30140308,0.20830394
angry,0.4262705,0.4031357,0.44326094,0.3483733,0.13277611,1.0,0.26190293,0.06312288,1.0,0.039032344,0.15601029,0.27944022,0.39356256,0.0,0.36479273,0.041138243,0.5408512,0.2577581,0.080741964,0.082166135
angry,0.25690416,0.28200474,0.50925875,0.29165933,0.4984899,1.0,0.40036148,0.0010870353,0.0,0.5420001,0.6821577,0.08501678,0.36819774,0.0,0.36694315,0.48928505,0.028890848,0.04764309,0.14446045,0.24896574
angry,0.4362219,0.22573179,0.24150468,0.4262791,0.19943635,0.0,0.32446763,0.1284403,1.0,0.108963326,0.33555132,0.40836275,0.38822487,1.0,0.5773258,0.1395954,0.99782026,0.6320477,0.028772704,0.59454364
angry,0.47974795,0.3949426,0.80249566,0.29737738,0.26154217,0.0,0.464297,0.20517713,0.0,0.29427207,0.25516006,0.32819605,0.3400338,1.0,0.74105585,0.40702304,0.9472105,0.3539542,0.30659965,0.15672666
angry,0.30934757,0.29542685,0.39388707,0.31938654,0.1554005,0.0,0.37585008,0.0488841,1.0,0.060679078,0.59993184,0.072665334,0.46734098,0.0,0.35503465,0.45145163,0.92178,0.11589221,0.26006177,0.11686905
angry,0.45000857,0.44696423,0.1632445,0.48910987,0.25941104,0.0,0.435266,0.35881087,1.0,0.2926523,0.40975067,0.11073165,0.47276852,0.0,0.6184619,0.3037617,0.38310695,0.077746645,0.04918595,0.25086015
angry,0.44621348,0.5457759,0.7379989,0.38392773,0.27153146,0.0,0.4102481,0.21294527,0.0,0.27792275,0.16176276,0.20565714,0.4774158,0.0,0.35188147,0.31429297,0.25016665,0.050623536,0.47413644,0.33959243
angry,0.42155877,0.21904665,0.49494186,0.30913234,0.36209717,1.0,0.48398164,0.8873206,1.0,0.25457957,0.26171878,0.15096313,0.3246168,1.0,0.77341425,0.05458033,0.99618334,0.5976575,0.20776166,0.41213942
angry,0.24044713,0.12823494,0.8497104,0.2607284,0.15646525,1.0,0.3104569,0.29580835,0.0,0.052602008,0.12463512,0.122840516,0.36380902,1.0,0.2862187,0.20926377,0.9863708,0.34753546,0.02289437,0.55913174
